epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.7102,2.94376,5.29094,0.00201,0.59831,0.69025,0.61569,0.22399,2.23551,1.19134,0.00149,0.000548972,0.000548972,0.000548972
2,86.9228,2.55159,1.44267,0.00139,0.55826,0.68288,0.60658,0.21024,2.31989,1.2729,0.00152,0.0010937,0.0010937,0.0010937
3,141.697,2.48365,1.20585,0.00131,0.56982,0.76497,0.69157,0.24457,2.219,1.36035,0.00146,0.00162743,0.00162743,0.00162743
4,184.974,2.44873,1.1245,0.00132,0.6671,0.73966,0.70207,0.26571,2.15245,1.06761,0.00142,0.00161749,0.00161749,0.00161749
5,229.63,2.35266,1.13024,0.00122,0.60836,0.7999,0.68084,0.2687,2.10797,1.00383,0.00138,0.00160099,0.00160099,0.00160099
6,276.541,2.26396,1.08079,0.0012,0.55521,0.76752,0.65963,0.24984,2.14558,1.05659,0.00139,0.00158448,0.00158448,0.00158448
7,321.711,2.27174,1.07449,0.00116,0.62091,0.78222,0.67596,0.28021,1.98346,1.00549,0.00129,0.00156798,0.00156798,0.00156798
8,369.999,2.19701,1.05484,0.00114,0.64469,0.74515,0.70634,0.29143,2.01331,0.98764,0.00134,0.00155148,0.00155148,0.00155148
9,415.962,2.20627,1.04254,0.00114,0.60437,0.77265,0.65803,0.25015,2.12912,1.0313,0.00139,0.00153497,0.00153497,0.00153497
10,463.926,2.26544,1.05143,0.00114,0.62347,0.77897,0.68692,0.28509,1.95899,0.96953,0.00128,0.00151847,0.00151847,0.00151847
11,511.522,2.15867,1.03996,0.00109,0.56978,0.75564,0.73064,0.30034,1.93838,1.13642,0.00126,0.00150197,0.00150197,0.00150197
12,559.638,2.14293,1.05642,0.00109,0.54721,0.75519,0.64741,0.2624,1.96494,1.05709,0.00128,0.00148546,0.00148546,0.00148546
