review_id,source_id,track_id,lamp_position,flip_frame,transition_type,runway,frames,flags,page
flip_001,DJI_202604290007_019_300mRwy06night,lamp_1,1,56,red_to_white,06,55;56;57;58,rwy06_faa_default,1
flip_002,DJI_202604290007_020_300mrway06nightdown,lamp_1,1,19,white_to_red,06,18;19;20;21,rwy06_faa_default,1
flip_003,DJI_202604281910_010_UgCS,lamp_1,1,144,red_to_white,24,143;144;145;146,clean,1
flip_004,DJI_202604291300_031_day2700mup,lamp_1,1,108,red_to_white,24,107,fallback_identity,1
flip_005,DJI_202604281910_010_UgCS,lamp_1,1,577,white_to_red,24,576;577;578;579,clean,1
flip_006,DJI_202604281910_010_UgCS,lamp_1,1,188,white_to_red,24,187;188;189;190,elev_discontinuity,1
flip_007,DJI_202604281946_011_700,lamp_1,1,158,white_to_red,24,157;158;159;160,fallback_identity,2
flip_008,DJI_202604290007_019_300mRwy06night,lamp_2,2,41,red_to_white,06,40;41;42;43,rwy06_faa_default,2
flip_009,DJI_202604290007_020_300mrway06nightdown,lamp_2,2,47,white_to_red,06,46;47;48;49,rwy06_faa_default,2
flip_010,DJI_202604281910_010_UgCS,lamp_1,1,311,red_to_white,24,310;311;312;313,clean,2
flip_011,DJI_202604291300_031_day2700mup,lamp_1,1,120,red_to_white,24,119;120;121;122,fallback_identity,2
flip_012,DJI_202604281910_010_UgCS,lamp_2,2,638,white_to_red,24,637;638;639;640,clean,2
flip_013,DJI_202604281910_010_UgCS,lamp_1,1,331,white_to_red,24,330;331;332;333,elev_discontinuity,3
flip_014,DJI_202604291300_031_day2700mup,lamp_2,2,108,white_to_red,24,107,fallback_identity,3
flip_015,DJI_202604290007_019_300mRwy06night,lamp_3,3,33,red_to_white,06,32;33;34;35,rwy06_faa_default,3
flip_016,DJI_202604290007_020_300mrway06nightdown,lamp_3,3,73,white_to_red,06,72;73,rwy06_faa_default,3
flip_017,DJI_202604281910_010_UgCS,lamp_1,1,528,red_to_white,24,527;528;529;530,clean,3
flip_018,DJI_202604291300_031_day2700mup,lamp_4,4,107,red_to_white,24,106;107;108;109,fallback_identity,3
flip_019,DJI_202604281910_010_UgCS,lamp_3,3,706,white_to_red,24,705;706;707;708,clean,4
flip_020,DJI_202604281910_010_UgCS,lamp_2,2,188,white_to_red,24,187;188;189;190,elev_discontinuity,4
flip_021,DJI_202604291738_040_400day2dwnleftoffset,lamp_1,1,27,white_to_red,24,26;27;28;29,fallback_identity,4
flip_022,DJI_202604290007_019_300mRwy06night,lamp_4,4,17,red_to_white,06,16;17;18;19,rwy06_faa_default,4
flip_023,DJI_202604290007_020_300mrway06nightdown,lamp_3,3,78,white_to_red,06,77;78;79;80,rwy06_faa_default,4
flip_024,DJI_202604281910_010_UgCS,lamp_2,2,121,red_to_white,24,120;121;122;123,clean,4
flip_025,DJI_202604291300_031_day2700mup,lamp_4,4,121,red_to_white,24,120;121;122;123,fallback_identity,5
flip_026,DJI_202604281946_013_800,lamp_1,1,156,white_to_red,24,155;156;157;158,clean,5
flip_027,DJI_202604281910_010_UgCS,lamp_2,2,331,white_to_red,24,330;331;332;333,elev_discontinuity,5
flip_028,DJI_202604290007_020_300mrway06nightdown,lamp_3,3,75,red_to_white,06,74;75;76,rwy06_faa_default,5
flip_029,DJI_202604290007_020_300mrway06nightdown,lamp_4,4,130,white_to_red,06,129;130;131;132,rwy06_faa_default,5
flip_030,DJI_202604281910_010_UgCS,lamp_2,2,294,red_to_white,24,293;294;295;296,clean,5
flip_031,DJI_202604281946_013_800,lamp_2,2,218,white_to_red,24,217;218;219;220,clean,6
flip_032,DJI_202604281910_010_UgCS,lamp_3,3,188,white_to_red,24,187;188;189;190,elev_discontinuity,6
flip_033,DJI_202604290007_021_400mrwy06night,lamp_1,1,50,red_to_white,06,49,rwy06_faa_default,6
flip_034,DJI_202604290007_021_400mrwy06night,lamp_1,1,51,white_to_red,06,50;51;52;53,rwy06_faa_default,6
flip_035,DJI_202604281910_010_UgCS,lamp_2,2,488,red_to_white,24,487;488;489;490,clean,6
flip_036,DJI_202604281946_013_800,lamp_3,3,265,white_to_red,24,264;265;266;267,clean,6
