candidate_id,decision,old_label,new_label,reviewer_note,source_id,frame_number,track_id
cand_00095,ambiguous_review,white,white,unreliable left-to-right lamp identity (zoom/mirror); excluded from training [visually reviewed],DJI_202604281946_011_700,158,lamp_1
cand_00240,accepted_transition,red,transition,flip-anchored + colour-confirmed,DJI_202604290007_021_400mrwy06night,95,lamp_2
cand_00493,accepted_transition,red,transition,flip-anchored + colour-confirmed,DJI_202604291738_041_300mday2up,66,lamp_4
cand_00090,accepted_transition,red,transition,flip-anchored + colour-confirmed,DJI_202604281910_010_UgCS,412,lamp_4
cand_00403,accepted_transition,red,transition,flip-anchored + colour-confirmed,DJI_202604291357_034_600day2up,36,lamp_4
cand_00411,accepted_transition,red,transition,flip-anchored + colour-confirmed,DJI_202604291550_036_400mday2up,22,lamp_4
cand_00334,accepted_transition,white,transition,flip-anchored + colour-confirmed,DJI_202604291300_031_day2700mup,72,lamp_2
cand_00249,accepted_transition,red,transition,flip-anchored + colour-confirmed,DJI_202604290007_021_400mrwy06night,95,lamp_3
cand_00489,accepted_transition,red,transition,flip-anchored + colour-confirmed,DJI_202604291738_041_300mday2up,81,lamp_3
cand_00473,accepted_transition,white,transition,flip-anchored + colour-confirmed,DJI_202604291738_040_400day2dwnleftoffset,98,lamp_3
cand_00330,accepted_transition,white,transition,flip-anchored + colour-confirmed,DJI_202604291300_031_day2700mup,68,lamp_2
cand_00366,accepted_transition,white,transition,flip-anchored + colour-confirmed,DJI_202604291300_031_day2700mup,37,lamp_3
cand_00399,accepted_transition,red,transition,flip-anchored + colour-confirmed,DJI_202604291357_034_600day2up,58,lamp_3
cand_00304,accepted_transition,white,transition,flip-anchored + colour-confirmed,DJI_202604291300_031_day2700mup,94,lamp_1
cand_00022,accepted_transition,white,transition,flip-anchored + colour-confirmed [visually reviewed],DJI_202604281910_010_UgCS,577,lamp_1
cand_00070,accepted_transition,white,transition,flip-anchored + colour-confirmed [visually reviewed],DJI_202604281910_010_UgCS,706,lamp_3
cand_00455,accepted_transition,red,transition,flip-anchored + colour-confirmed,DJI_202604291738_039_400mday2up,63,lamp_3
cand_00477,accepted_transition,white,transition,flip-anchored + colour-confirmed,DJI_202604291738_040_400day2dwnleftoffset,116,lamp_4
cand_00467,accepted_transition,white,transition,flip-anchored + colour-confirmed,DJI_202604291738_040_400day2dwnleftoffset,62,lamp_2
cand_00443,accepted_transition,red,transition,flip-anchored + colour-confirmed,DJI_202604291738_037_500mday2v2up,35,lamp_4
cand_00434,accepted_transition,red,transition,flip-anchored + colour-confirmed,DJI_202604291738_037_500mday2v2up,49,lamp_3
cand_00323,accepted_transition,white,transition,flip-anchored + colour-confirmed,DJI_202604291300_031_day2700mup,118,lamp_1
cand_00481,accepted_transition,red,transition,flip-anchored + colour-confirmed,DJI_202604291738_041_300mday2up,138,lamp_1
cand_00421,accepted_transition,red,transition,flip-anchored + colour-confirmed,DJI_202604291738_037_500mday2v2up,126,lamp_1
cand_00417,accepted_transition,white,transition,flip-anchored + colour-confirmed,DJI_202604291738_037_500mday2v2up,122,lamp_1
cand_00459,accepted_transition,red,transition,flip-anchored + colour-confirmed,DJI_202604291738_039_400mday2up,50,lamp_4
cand_00167,accepted_transition,white,transition,flip-anchored + colour-confirmed,DJI_202604281946_014_1000,78,lamp_2
cand_00379,accepted_transition,white,transition,flip-anchored + colour-confirmed,DJI_202604291300_031_day2700mup,34,lamp_4
cand_00260,accepted_transition,red,transition,flip-anchored + colour-confirmed,DJI_202604290007_021_400mrwy06night,95,lamp_4
cand_00395,accepted_transition,red,transition,flip-anchored + colour-confirmed,DJI_202604291357_034_600day2up,120,lamp_2
cand_00463,accepted_transition,white,transition,flip-anchored + colour-confirmed [visually reviewed],DJI_202604291738_040_400day2dwnleftoffset,27,lamp_1
cand_00391,accepted_transition,red,transition,flip-anchored + colour-confirmed,DJI_202604291357_034_600day2up,158,lamp_1
cand_00002,accepted_transition,red,transition,flip-anchored + colour-confirmed [visually reviewed],DJI_202604281910_010_UgCS,144,lamp_1
cand_00318,accepted_transition,white,transition,flip-anchored + colour-confirmed,DJI_202604291300_031_day2700mup,109,lamp_1
