epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,342.369,1.98209,7.47622,0.00062,0.5496,0.63375,0.60089,0.2499,2.01871,0.80949,0.00073,0.000475791,0.000475791,0.000475791
2,695.079,1.78271,0.96422,0.00054,0.56854,0.66931,0.60748,0.26452,1.99584,0.86667,0.00071,0.000940342,0.000940342,0.000940342
3,1047.14,1.68097,0.83468,0.00049,0.52685,0.62042,0.57573,0.23845,2.07502,0.93569,0.00068,0.0013931,0.0013931,0.0013931
4,1399.99,1.64526,0.76529,0.00047,0.60582,0.6582,0.63037,0.27423,1.9557,0.87222,0.00067,0.00137595,0.00137595,0.00137595
5,1720.63,1.54639,0.69909,0.00044,0.58049,0.64475,0.60383,0.27376,1.89432,0.90522,0.00066,0.00135826,0.00135826,0.00135826
6,2033.79,1.51606,0.6648,0.00043,0.4785,0.53037,0.48666,0.17969,2.34752,1.13979,0.00088,0.00134058,0.00134058,0.00134058
7,2348.62,1.4745,0.64124,0.00041,0.53022,0.60635,0.58639,0.26668,1.86383,0.99837,0.00065,0.0013229,0.0013229,0.0013229
8,2664.17,1.45281,0.63025,0.0004,0.52257,0.51865,0.51402,0.17367,2.31175,1.1548,0.00073,0.00130521,0.00130521,0.00130521
9,2981.26,1.42093,0.61106,0.0004,0.57353,0.56598,0.58652,0.22849,2.11393,1.00797,0.00068,0.00128753,0.00128753,0.00128753
10,3300.29,1.43038,0.61062,0.00039,0.5593,0.64243,0.58947,0.24674,2.03074,1.02875,0.00067,0.00126985,0.00126985,0.00126985
11,3623.17,1.4143,0.61717,0.00039,0.55845,0.54345,0.5731,0.2266,2.0775,1.07524,0.00068,0.00125216,0.00125216,0.00125216
12,315.653,1.41168,0.61113,0.00039,0.5703,0.61914,0.61679,0.27418,1.90122,0.92459,0.00064,0.00123448,0.00123448,0.00123448
13,633.674,1.37517,0.59948,0.00038,0.49463,0.51214,0.50849,0.17039,2.42824,1.12141,0.00083,0.00121679,0.00121679,0.00121679
14,951.371,1.34202,0.58172,0.00037,0.48731,0.62672,0.57696,0.24866,1.8658,1.00995,0.0006,0.00119911,0.00119911,0.00119911
15,1268.51,1.38885,0.59309,0.00038,0.57098,0.63754,0.61028,0.28401,1.76578,0.95504,0.00059,0.00118143,0.00118143,0.00118143
16,1585.56,1.36962,0.56669,0.00038,0.50082,0.57779,0.54035,0.23577,1.84563,1.11375,0.0006,0.00116374,0.00116374,0.00116374
17,1901.72,1.34761,0.57371,0.00037,0.52416,0.59002,0.56208,0.25558,1.94012,0.99748,0.00068,0.00114606,0.00114606,0.00114606
18,2221.09,1.32233,0.56372,0.00036,0.53622,0.5915,0.5677,0.22071,2.10249,1.00061,0.00068,0.00112837,0.00112837,0.00112837
19,2540.81,1.30382,0.55554,0.00035,0.52606,0.56864,0.56568,0.24285,1.94638,1.07229,0.00065,0.00111069,0.00111069,0.00111069
