epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.0344,4.34,10.9931,0.00451,0,0,0,0,3.26173,5.04204,0.00233,0.00045009,0.00045009,0.00045009
2,26.8027,3.30417,4.93097,0.00211,0,0,0,0,2.89314,4.23736,0.002,0.000907773,0.000907773,0.000907773
3,35.6851,3.06216,3.67793,0.00176,0.00864,0.57531,0.03153,0.00905,2.87779,3.41934,0.00196,0.00135621,0.00135621,0.00135621
4,44.671,2.90768,3.33867,0.00176,0.42589,0.39383,0.4037,0.13865,2.50487,2.16631,0.00169,0.00161749,0.00161749,0.00161749
5,53.2697,2.7487,2.79164,0.00161,0.52703,0.63428,0.59324,0.18405,2.47806,1.6026,0.00165,0.00160099,0.00160099,0.00160099
6,62.3749,2.74366,2.47367,0.00151,0.43992,0.70676,0.64004,0.20867,2.37985,1.6652,0.00157,0.00158448,0.00158448,0.00158448
7,71.1298,2.68627,2.2636,0.00152,0.61537,0.68996,0.69784,0.24538,2.30763,1.29037,0.00149,0.00156798,0.00156798,0.00156798
8,80.3124,2.53529,2.00702,0.00132,0.5606,0.67376,0.55389,0.19296,2.36826,1.32475,0.00154,0.00155148,0.00155148,0.00155148
9,89.156,2.60582,2.02395,0.00143,0.5844,0.7156,0.67177,0.24858,2.24473,1.09346,0.00148,0.00153497,0.00153497,0.00153497
10,98.2058,2.56793,1.79598,0.00141,0.63817,0.75245,0.69114,0.24892,2.21502,1.3547,0.00147,0.00151847,0.00151847,0.00151847
11,107.027,2.51794,1.6395,0.00136,0.55103,0.71441,0.64186,0.2167,2.316,1.09403,0.0015,0.00150197,0.00150197,0.00150197
12,116.512,2.49298,1.56478,0.00135,0.60663,0.74441,0.70127,0.27864,2.09354,0.98804,0.00137,0.00148546,0.00148546,0.00148546
13,125.149,2.39489,1.43287,0.00122,0.64338,0.76279,0.71455,0.2616,2.19978,0.99423,0.00143,0.00146896,0.00146896,0.00146896
14,134.301,2.43391,1.4451,0.00131,0.64596,0.78079,0.72915,0.2723,2.15615,0.97727,0.00141,0.00145246,0.00145246,0.00145246
15,143.112,2.41254,1.35609,0.00124,0.63058,0.76605,0.69913,0.25626,2.21591,1.0106,0.00144,0.00143595,0.00143595,0.00143595
16,152.163,2.37643,1.29572,0.00123,0.67678,0.74108,0.68955,0.27944,1.97373,1.00867,0.00129,0.00141945,0.00141945,0.00141945
17,162.447,2.29337,1.26675,0.00121,0.54387,0.77864,0.65486,0.24859,2.16121,1.04869,0.0014,0.00140295,0.00140295,0.00140295
18,172.163,2.34774,1.25392,0.00124,0.67006,0.79394,0.74987,0.28344,2.20509,0.95891,0.00144,0.00138644,0.00138644,0.00138644
19,182.701,2.29585,1.23124,0.00117,0.69387,0.78947,0.77221,0.31814,1.97462,0.93882,0.00127,0.00136994,0.00136994,0.00136994
20,192.74,2.24244,1.17608,0.00115,0.64651,0.77367,0.75295,0.2999,2.03544,0.99917,0.00132,0.00135344,0.00135344,0.00135344
21,203.094,2.14269,1.17629,0.00111,0.58081,0.79371,0.71741,0.2793,2.04816,0.99117,0.00131,0.00133693,0.00133693,0.00133693
22,214.283,2.1637,1.16723,0.00112,0.6394,0.79052,0.70359,0.30317,1.90366,0.98257,0.00122,0.00132043,0.00132043,0.00132043
23,224.201,2.0845,1.12376,0.00109,0.65044,0.83005,0.71195,0.28642,1.97749,0.97651,0.00128,0.00130393,0.00130393,0.00130393
24,232.885,2.30589,1.1277,0.00121,0.66118,0.75042,0.72966,0.29716,2.0091,0.97249,0.00128,0.00128742,0.00128742,0.00128742
25,243.457,2.2764,1.08092,0.00116,0.65395,0.75034,0.75419,0.31103,1.97123,0.9597,0.00124,0.00127092,0.00127092,0.00127092
26,253.597,2.16733,1.09495,0.00112,0.62399,0.76259,0.75347,0.32078,1.93616,1.02544,0.00123,0.00125442,0.00125442,0.00125442
27,263.214,2.19217,1.09441,0.00113,0.64562,0.79089,0.74394,0.28763,2.07716,1.01921,0.00133,0.00123791,0.00123791,0.00123791
28,273.24,2.16972,1.08188,0.00114,0.65774,0.83439,0.75687,0.30474,2.04098,0.97839,0.0013,0.00122141,0.00122141,0.00122141
29,282.892,2.20848,1.07416,0.00116,0.65094,0.83394,0.75649,0.30621,2.00292,0.95753,0.00127,0.00120491,0.00120491,0.00120491
30,291.879,2.13245,1.09004,0.00109,0.6675,0.72723,0.71503,0.28711,1.97551,1.03359,0.00124,0.0011884,0.0011884,0.0011884
31,301.629,2.10676,1.05964,0.00106,0.67129,0.79439,0.75076,0.32264,1.88919,0.97305,0.00119,0.0011719,0.0011719,0.0011719
32,311.226,2.12728,1.03135,0.00108,0.67938,0.74758,0.7471,0.31771,1.93588,0.96485,0.00123,0.0011554,0.0011554,0.0011554
33,321.551,2.1054,1.05182,0.00106,0.65295,0.77329,0.71246,0.30078,1.95564,0.98693,0.00124,0.00113889,0.00113889,0.00113889
34,332.053,2.10458,1.05148,0.00108,0.58531,0.78189,0.64954,0.2493,2.10819,1.09245,0.00132,0.00112239,0.00112239,0.00112239
35,342.406,2.0525,1.03876,0.00107,0.65023,0.7955,0.75878,0.3149,1.96127,0.95751,0.00124,0.00110589,0.00110589,0.00110589
36,352.642,2.09164,1.03213,0.00106,0.64437,0.79566,0.76357,0.31289,1.96796,0.96551,0.00125,0.00108938,0.00108938,0.00108938
37,363.07,2.09971,1.00895,0.00107,0.68942,0.82764,0.76819,0.31765,1.97549,0.94073,0.00125,0.00107288,0.00107288,0.00107288
38,373.905,2.03827,1.01879,0.00103,0.68029,0.83171,0.75731,0.32821,1.87531,0.94647,0.00119,0.00105638,0.00105638,0.00105638
39,385.793,1.97787,1.0154,0.001,0.68931,0.78856,0.78734,0.34239,1.85284,0.94469,0.00117,0.00103987,0.00103987,0.00103987
40,397.15,2.01639,1.00068,0.00101,0.66864,0.79555,0.75693,0.32911,1.8584,0.94793,0.00118,0.00102337,0.00102337,0.00102337
41,407.876,2.04592,1.01312,0.00101,0.67393,0.78463,0.75379,0.3367,1.81678,0.97957,0.00113,0.00100687,0.00100687,0.00100687
42,418.442,2.06924,1.01553,0.00106,0.67217,0.79341,0.73568,0.32963,1.85298,0.99696,0.00117,0.000990365,0.000990365,0.000990365
43,428.83,2.0697,1.01391,0.00103,0.68933,0.80804,0.75175,0.32035,1.89699,0.96673,0.0012,0.000973861,0.000973861,0.000973861
44,439.564,1.99306,0.99135,0.001,0.62727,0.78885,0.70503,0.28023,1.94773,0.99873,0.00124,0.000957358,0.000957358,0.000957358
45,450.623,2.0228,1.00819,0.001,0.68853,0.81053,0.76166,0.3352,1.82714,0.98474,0.00115,0.000940855,0.000940855,0.000940855
46,461.543,1.9312,0.99424,0.00095,0.66263,0.76945,0.72736,0.30684,1.89321,0.99152,0.00117,0.000924352,0.000924352,0.000924352
47,471.932,1.94879,0.98613,0.00097,0.69862,0.80025,0.76706,0.34347,1.81644,0.96294,0.00113,0.000907848,0.000907848,0.000907848
48,482.077,1.9772,1.02315,0.00103,0.70147,0.8074,0.75732,0.32943,1.84606,0.97674,0.00116,0.000891345,0.000891345,0.000891345
49,492.284,1.97396,0.99945,0.00096,0.70674,0.7949,0.75137,0.32809,1.86492,0.94798,0.00117,0.000874842,0.000874842,0.000874842
50,502.31,1.9566,1.00967,0.00094,0.65488,0.7724,0.72219,0.3198,1.85109,0.96131,0.00116,0.000858338,0.000858338,0.000858338
51,512.545,1.97333,1.01191,0.001,0.59936,0.73051,0.67731,0.26517,1.96835,1.07076,0.00125,0.000841835,0.000841835,0.000841835
52,522.462,1.95334,1.01303,0.00098,0.58929,0.76973,0.68249,0.26363,2.0053,1.0688,0.00128,0.000825332,0.000825332,0.000825332
53,532.756,1.98954,1.00496,0.001,0.67431,0.8098,0.74312,0.31284,1.8965,0.97686,0.0012,0.000808828,0.000808828,0.000808828
54,542.9,1.95719,0.97189,0.00096,0.67784,0.82498,0.77071,0.33029,1.84303,0.95608,0.00116,0.000792325,0.000792325,0.000792325
55,552.634,1.9837,0.9714,0.00098,0.68149,0.83201,0.76309,0.34064,1.77716,0.94794,0.0011,0.000775822,0.000775822,0.000775822
56,562.306,1.98584,1.00042,0.001,0.64142,0.78387,0.70193,0.28387,1.96922,1.00957,0.00124,0.000759318,0.000759318,0.000759318
57,571.485,1.99252,0.9945,0.001,0.69507,0.81456,0.76606,0.33834,1.80406,0.9623,0.00113,0.000742815,0.000742815,0.000742815
58,581.034,1.91394,0.96386,0.00096,0.65819,0.75668,0.71343,0.29168,1.92699,1.01194,0.00122,0.000726312,0.000726312,0.000726312
59,590.332,1.96957,0.99708,0.00096,0.65888,0.79735,0.73405,0.31171,1.95437,1.01363,0.00124,0.000709809,0.000709809,0.000709809
60,599.497,1.90223,1.00493,0.00092,0.68775,0.81393,0.77447,0.35041,1.77866,0.96937,0.00112,0.000693305,0.000693305,0.000693305
61,608.207,1.89054,0.95327,0.00094,0.71464,0.80646,0.7646,0.34784,1.76958,0.93648,0.00111,0.000676802,0.000676802,0.000676802
62,618.061,1.84659,0.97898,0.00093,0.68657,0.79332,0.74214,0.35191,1.71952,0.91929,0.00108,0.000660299,0.000660299,0.000660299
63,627.636,1.87118,0.97557,0.00092,0.66347,0.80578,0.73025,0.33896,1.78606,0.9547,0.00111,0.000643795,0.000643795,0.000643795
