epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,659.607,2.42769,9.76794,0.00076,0.65777,0.66997,0.64152,0.21412,2.36556,5.60449,0.00093,0.000555232,0.000555232,0.000555232
2,1302.86,1.98167,3.8744,0.00057,0.65128,0.713,0.65612,0.23031,2.25355,2.92405,0.0008,0.0010999,0.0010999,0.0010999
3,1942.72,1.83102,2.1203,0.00051,0.66423,0.74333,0.73972,0.31169,1.99196,1.96192,0.00071,0.00163357,0.00163357,0.00163357
4,2578.61,1.7981,1.4708,0.0005,0.80773,0.84958,0.86935,0.4139,1.8292,1.26291,0.00064,0.00161749,0.00161749,0.00161749
5,3215.92,1.75379,1.13483,0.00049,0.75651,0.82028,0.82545,0.37089,1.90461,1.22158,0.00065,0.00160099,0.00160099,0.00160099
6,3855.4,1.66506,0.95765,0.00047,0.70039,0.79506,0.81794,0.35515,1.91886,1.17185,0.00066,0.00158448,0.00158448,0.00158448
7,4496.56,1.64727,0.81322,0.00045,0.79058,0.80831,0.84707,0.37703,1.8922,0.97451,0.00065,0.00156798,0.00156798,0.00156798
8,5138.47,1.59354,0.73836,0.00044,0.73473,0.7939,0.81727,0.37132,1.92046,0.98173,0.0007,0.00155148,0.00155148,0.00155148
9,5774.91,1.5359,0.66972,0.00043,0.82211,0.87751,0.91517,0.43053,1.858,0.8091,0.00063,0.00153497,0.00153497,0.00153497
10,6416.61,1.49888,0.63855,0.00041,0.75937,0.83048,0.85733,0.40992,1.76849,0.88698,0.0006,0.00151847,0.00151847,0.00151847
11,7059.69,1.46393,0.60454,0.0004,0.86128,0.86959,0.92466,0.44869,1.7796,0.7693,0.00062,0.00150197,0.00150197,0.00150197
12,7702.33,1.45087,0.59441,0.0004,0.81364,0.86149,0.89719,0.47113,1.63756,0.80267,0.00056,0.00148546,0.00148546,0.00148546
13,8347.24,1.39724,0.55951,0.00039,0.7737,0.87314,0.89305,0.43861,1.81399,0.78507,0.00067,0.00146896,0.00146896,0.00146896
14,8992.08,1.44809,0.55926,0.0004,0.83936,0.86327,0.90916,0.45965,1.72833,0.73894,0.00062,0.00145246,0.00145246,0.00145246
15,9635.19,1.42382,0.54547,0.00039,0.74888,0.81399,0.84177,0.44179,1.66598,0.82286,0.00059,0.00143595,0.00143595,0.00143595
16,10274.3,1.40208,0.54006,0.00039,0.85588,0.86748,0.91115,0.44639,1.77035,0.72963,0.00063,0.00141945,0.00141945,0.00141945
17,10917.8,1.45955,0.53564,0.00039,0.80487,0.84315,0.87533,0.4333,1.79792,0.74526,0.00066,0.00140295,0.00140295,0.00140295
18,11562.4,1.33584,0.48878,0.00037,0.82394,0.86379,0.89502,0.43938,1.72405,0.77383,0.00059,0.00138644,0.00138644,0.00138644
19,12206.9,1.32276,0.49849,0.00037,0.83619,0.84854,0.90771,0.45766,1.74478,0.74796,0.00059,0.00136994,0.00136994,0.00136994
20,12850.3,1.2963,0.48811,0.00036,0.73279,0.80625,0.82374,0.37331,1.92537,0.91072,0.00065,0.00135344,0.00135344,0.00135344
21,13492.8,1.34747,0.50016,0.00037,0.83662,0.86391,0.90991,0.45276,1.75897,0.71777,0.0006,0.00133693,0.00133693,0.00133693
22,14135.5,1.3758,0.48604,0.00038,0.7782,0.87019,0.87733,0.38563,1.94939,0.7859,0.00065,0.00132043,0.00132043,0.00132043
23,14775.9,1.31184,0.48114,0.00037,0.7728,0.81275,0.852,0.39034,1.92612,0.81796,0.00067,0.00130393,0.00130393,0.00130393
24,15420.3,1.33781,0.48155,0.00038,0.79437,0.81888,0.87388,0.46142,1.70793,0.74447,0.00062,0.00128742,0.00128742,0.00128742
25,16064.9,1.31229,0.46969,0.00036,0.80155,0.83403,0.88128,0.4699,1.64396,0.74906,0.00059,0.00127092,0.00127092,0.00127092
26,16708.5,1.32477,0.46751,0.00038,0.83201,0.8555,0.90778,0.34009,2.15954,0.76718,0.00069,0.00125442,0.00125442,0.00125442
27,17351.1,1.26287,0.45248,0.00035,0.77633,0.84686,0.89551,0.45025,1.71377,0.74674,0.00059,0.00123791,0.00123791,0.00123791
28,17994.8,1.26628,0.46097,0.00036,0.86803,0.83215,0.90781,0.38017,2.00881,0.7703,0.00064,0.00122141,0.00122141,0.00122141
29,18632.9,1.23798,0.45061,0.00035,0.85274,0.86087,0.92003,0.43785,1.73369,0.72992,0.0006,0.00120491,0.00120491,0.00120491
30,19274,1.22683,0.44028,0.00034,0.86131,0.8706,0.91405,0.474,1.63963,0.67456,0.00058,0.0011884,0.0011884,0.0011884
31,19917.8,1.21671,0.44285,0.00034,0.84329,0.85303,0.89759,0.38563,1.97812,0.73028,0.00066,0.0011719,0.0011719,0.0011719
32,20564.5,1.23051,0.44653,0.00034,0.8628,0.86815,0.91734,0.38244,2.01838,0.73012,0.00065,0.0011554,0.0011554,0.0011554
33,21208,1.2492,0.45613,0.00035,0.86956,0.81735,0.90474,0.41748,1.88148,0.70544,0.00066,0.00113889,0.00113889,0.00113889
34,21852.5,1.22319,0.44208,0.00034,0.83173,0.82181,0.89497,0.42902,1.87186,0.7408,0.00064,0.00112239,0.00112239,0.00112239
35,22498.2,1.18555,0.44017,0.00034,0.84488,0.85361,0.89496,0.35294,2.03811,0.75595,0.00066,0.00110589,0.00110589,0.00110589
36,23142.6,1.19733,0.44132,0.00033,0.80099,0.83508,0.89039,0.38637,1.98913,0.76358,0.00066,0.00108938,0.00108938,0.00108938
37,23786.5,1.20553,0.43558,0.00033,0.7139,0.70286,0.71845,0.24098,2.43519,0.90195,0.00081,0.00107288,0.00107288,0.00107288
38,24428.8,1.21826,0.43656,0.00033,0.85007,0.87206,0.92829,0.40711,1.91371,0.73353,0.00062,0.00105638,0.00105638,0.00105638
39,25075.6,1.17489,0.42343,0.00033,0.78901,0.82721,0.8362,0.3287,2.09771,0.82775,0.00067,0.00103987,0.00103987,0.00103987
40,25715.8,1.16866,0.41154,0.00032,0.86358,0.86038,0.93206,0.42786,1.86567,0.71237,0.0006,0.00102337,0.00102337,0.00102337
41,26355.9,1.18737,0.41905,0.00033,0.83575,0.86639,0.92664,0.43482,1.81739,0.71589,0.00061,0.00100687,0.00100687,0.00100687
42,27008.4,1.14051,0.40209,0.00032,0.80613,0.82778,0.88642,0.39081,1.93896,0.80713,0.00063,0.000990365,0.000990365,0.000990365
43,27656.2,1.14531,0.4193,0.00033,0.88142,0.89765,0.94744,0.41479,1.9225,0.69561,0.00062,0.000973861,0.000973861,0.000973861
44,28299.3,1.17197,0.41739,0.00033,0.82274,0.8418,0.90573,0.39406,1.95494,0.74391,0.00065,0.000957358,0.000957358,0.000957358
45,28945.5,1.14588,0.4219,0.00032,0.8341,0.82886,0.89969,0.38831,1.97351,0.72542,0.00067,0.000940855,0.000940855,0.000940855
