epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,199.095,2.44639,9.52315,0.0008,0.55851,0.64064,0.55528,0.14572,2.72406,6.20259,0.00096,0.000554797,0.000554797,0.000554797
2,395.322,1.94399,3.56745,0.00058,0.58125,0.6374,0.5714,0.19626,2.35718,3.01556,0.00091,0.00110991,0.00110991,0.00110991
3,589.722,1.9,1.97528,0.00055,0.64365,0.70175,0.67389,0.18317,2.52134,2.15437,0.0009,0.00166281,0.00166281,0.00166281
4,781.929,1.79207,1.37071,0.00052,0.68285,0.74482,0.753,0.31525,2.03468,1.45493,0.00074,0.00165953,0.00165953,0.00165953
5,979.199,1.69089,1.05171,0.0005,0.66943,0.76071,0.72336,0.22726,2.39803,1.34953,0.00087,0.00165374,0.00165374,0.00165374
6,1153.08,1.68895,0.90278,0.00049,0.74586,0.78803,0.82165,0.30305,2.09533,1.10215,0.00073,0.00164631,0.00164631,0.00164631
7,1309.01,1.58972,0.77556,0.00047,0.77128,0.77778,0.81736,0.3463,2.05373,0.98909,0.00081,0.00163726,0.00163726,0.00163726
8,1494.6,1.5829,0.73903,0.00045,0.79044,0.79626,0.84623,0.33397,2.09511,0.89816,0.00075,0.00162661,0.00162661,0.00162661
9,1680.51,1.52789,0.6783,0.00043,0.77923,0.76862,0.81559,0.31552,2.17126,0.93732,0.00076,0.00161438,0.00161438,0.00161438
10,1864.07,1.51227,0.64387,0.00044,0.82986,0.84305,0.89592,0.34012,2.11913,0.8813,0.00073,0.0016006,0.0016006,0.0016006
11,2046.56,1.48574,0.6254,0.00043,0.76656,0.78304,0.84317,0.36472,2.00639,0.85576,0.00073,0.00158528,0.00158528,0.00158528
12,2228.47,1.52856,0.62758,0.00045,0.78324,0.82243,0.86519,0.35108,2.02386,0.79925,0.00073,0.00156847,0.00156847,0.00156847
13,2427.64,1.47299,0.59221,0.00042,0.79288,0.77397,0.82727,0.35504,1.95859,0.81942,0.00071,0.0015502,0.0015502,0.0015502
14,2625.86,1.4483,0.572,0.00041,0.7844,0.74549,0.80821,0.38224,1.77081,0.90881,0.00064,0.0015305,0.0015305,0.0015305
15,2823.08,1.38284,0.54572,0.0004,0.82443,0.82877,0.87172,0.3924,1.94197,0.76016,0.00073,0.00150941,0.00150941,0.00150941
16,3021.3,1.40193,0.54762,0.0004,0.83071,0.84936,0.88612,0.37483,2.03479,0.76139,0.00073,0.00148697,0.00148697,0.00148697
17,3219.2,1.41207,0.52898,0.00041,0.8102,0.83263,0.87861,0.38399,1.96396,0.76949,0.00069,0.00146324,0.00146324,0.00146324
18,3416.96,1.39746,0.5421,0.00041,0.80387,0.77739,0.84888,0.36603,2.02533,0.77075,0.00078,0.00143826,0.00143826,0.00143826
19,3614.61,1.37668,0.52495,0.00039,0.77242,0.82297,0.85592,0.36648,2.017,0.77854,0.00077,0.00141208,0.00141208,0.00141208
20,3811.87,1.36205,0.51021,0.0004,0.83156,0.77585,0.84447,0.39233,1.99921,0.80053,0.0008,0.00138474,0.00138474,0.00138474
21,4005.68,1.33053,0.48371,0.00038,0.84063,0.83047,0.88785,0.39863,1.90425,0.73386,0.00069,0.00135632,0.00135632,0.00135632
22,4191.81,1.35217,0.49167,0.00038,0.81498,0.79821,0.84257,0.39497,1.93635,0.74149,0.00074,0.00132685,0.00132685,0.00132685
23,4384.77,1.27478,0.46873,0.00036,0.79522,0.77265,0.83187,0.39852,1.92561,0.76932,0.00075,0.00129642,0.00129642,0.00129642
24,4570.53,1.30052,0.48452,0.00037,0.78227,0.77028,0.8354,0.3825,1.88906,0.77823,0.00073,0.00126506,0.00126506,0.00126506
25,4753.06,1.30387,0.48092,0.00037,0.80657,0.81506,0.86195,0.37229,2.02669,0.75713,0.00074,0.00123285,0.00123285,0.00123285
26,4921.37,1.24452,0.46612,0.00036,0.76993,0.81257,0.84204,0.36285,2.05757,0.77975,0.00075,0.00119986,0.00119986,0.00119986
27,5109.14,1.27745,0.46613,0.00037,0.82082,0.83178,0.87699,0.36393,2.06535,0.73325,0.00073,0.00116615,0.00116615,0.00116615
28,5291.67,1.27082,0.47232,0.00037,0.83552,0.84797,0.88308,0.40297,1.87514,0.70791,0.00067,0.00113178,0.00113178,0.00113178
29,5466.09,1.24196,0.45684,0.00036,0.79285,0.81179,0.82986,0.36255,2.10749,0.76536,0.00076,0.00109683,0.00109683,0.00109683
30,5640.13,1.22039,0.44627,0.00035,0.79479,0.79646,0.83626,0.35141,2.13792,0.7631,0.0008,0.00106136,0.00106136,0.00106136
31,5814.65,1.20604,0.43552,0.00035,0.80608,0.78579,0.8443,0.41673,1.85702,0.74179,0.00075,0.00102545,0.00102545,0.00102545
32,5988.74,1.21664,0.45203,0.00036,0.81945,0.82071,0.88123,0.40824,1.87661,0.71771,0.00068,0.000989174,0.000989174,0.000989174
33,6162.84,1.21535,0.44679,0.00036,0.82006,0.8032,0.87707,0.4263,1.81771,0.70737,0.00068,0.0009526,0.0009526,0.0009526
34,6337.23,1.17994,0.42442,0.00034,0.83772,0.81556,0.87886,0.40703,1.8807,0.70354,0.0007,0.000915802,0.000915802,0.000915802
35,6511.91,1.17543,0.42357,0.00034,0.78075,0.74681,0.83152,0.34442,2.12821,0.80735,0.00076,0.000878856,0.000878856,0.000878856
36,6694.08,1.19597,0.43681,0.00034,0.81442,0.81922,0.87027,0.40074,1.98055,0.74948,0.00074,0.000841835,0.000841835,0.000841835
37,6867.79,1.17386,0.43117,0.00034,0.82066,0.80735,0.85703,0.36994,2.03693,0.74343,0.00072,0.000804814,0.000804814,0.000804814
38,7024.72,1.16142,0.41655,0.00034,0.79258,0.77487,0.82968,0.39523,1.93827,0.80477,0.00073,0.000767868,0.000767868,0.000767868
39,7179.59,1.13462,0.41661,0.00033,0.78628,0.83225,0.85395,0.38311,2.02153,0.7544,0.00075,0.00073107,0.00073107,0.00073107
40,7335.08,1.13452,0.41518,0.00033,0.78799,0.83917,0.86139,0.39066,1.96327,0.76168,0.0007,0.000694496,0.000694496,0.000694496
41,7490.3,1.12093,0.40927,0.00032,0.76463,0.75172,0.7968,0.34577,2.10855,0.84205,0.0008,0.000658219,0.000658219,0.000658219
42,7644.72,1.10524,0.4116,0.00032,0.78693,0.80761,0.8547,0.39565,1.94973,0.76341,0.00072,0.000622311,0.000622311,0.000622311
43,7799.66,1.11942,0.4108,0.00033,0.81611,0.82203,0.85884,0.40394,1.97439,0.75534,0.00075,0.000586845,0.000586845,0.000586845
44,7953.77,1.13142,0.42254,0.00032,0.78659,0.76729,0.82915,0.40279,1.8474,0.80104,0.0007,0.000551893,0.000551893,0.000551893
45,8108.05,1.10472,0.41096,0.00032,0.77505,0.80003,0.84249,0.38447,1.97622,0.78857,0.00071,0.000517524,0.000517524,0.000517524
46,8262.16,1.08146,0.39932,0.00031,0.86868,0.81579,0.88728,0.41874,1.87463,0.70999,0.00066,0.000483809,0.000483809,0.000483809
47,8419.91,1.07632,0.39644,0.00032,0.83509,0.82297,0.87145,0.38169,2.00309,0.72394,0.00071,0.000450815,0.000450815,0.000450815
48,8577.95,1.06518,0.3865,0.00031,0.80189,0.76152,0.82631,0.34936,2.07929,0.81203,0.00073,0.000418608,0.000418608,0.000418608
49,8734.48,1.07997,0.3935,0.00031,0.8494,0.80272,0.86368,0.39378,1.96883,0.73808,0.00072,0.000387254,0.000387254,0.000387254
50,8890.53,1.05787,0.38965,0.00031,0.84703,0.78829,0.86056,0.38626,1.98355,0.74703,0.00072,0.000356815,0.000356815,0.000356815
51,9047.66,1.04718,0.38734,0.00031,0.80924,0.78026,0.84115,0.36618,2.06376,0.78725,0.00075,0.000327353,0.000327353,0.000327353
52,9202.75,1.04784,0.39398,0.00031,0.82867,0.83783,0.88254,0.36909,2.03792,0.73306,0.00071,0.000298927,0.000298927,0.000298927
53,9360.45,1.02905,0.38769,0.0003,0.82769,0.82603,0.88174,0.39086,1.98321,0.71577,0.0007,0.000271594,0.000271594,0.000271594
54,9515.33,1.02668,0.37874,0.00029,0.80632,0.8278,0.86282,0.36748,2.04153,0.74398,0.00073,0.00024541,0.00024541,0.00024541
55,9670.98,1.04409,0.38544,0.0003,0.87393,0.74291,0.83832,0.36692,2.03069,0.79157,0.00074,0.000220427,0.000220427,0.000220427
56,9828.86,1.02356,0.37909,0.0003,0.84522,0.78641,0.85776,0.37271,2.03598,0.76179,0.00073,0.000196695,0.000196695,0.000196695
57,9983.86,1.00291,0.37248,0.00029,0.72823,0.77002,0.81406,0.33753,2.10212,0.822,0.00075,0.000174262,0.000174262,0.000174262
58,10142.3,1.02272,0.37927,0.00029,0.85836,0.78416,0.86006,0.35492,2.09167,0.76959,0.00074,0.000153174,0.000153174,0.000153174
59,10306.4,0.99639,0.37644,0.00029,0.86035,0.78607,0.85974,0.35953,2.07373,0.76912,0.00072,0.000133473,0.000133473,0.000133473
60,10462.5,1.0096,0.36779,0.00029,0.84866,0.80307,0.86913,0.37368,2.02985,0.74792,0.00072,0.000115198,0.000115198,0.000115198
