epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,179.709,2.36832,12.7803,0.00083,0.55678,0.62666,0.57833,0.19768,2.33901,6.28832,0.00082,0.00055393,0.00055393,0.00055393
2,348.717,1.99647,5.30828,0.00061,0.57068,0.7171,0.66322,0.25044,2.11864,3.27675,0.0008,0.00109861,0.00109861,0.00109861
3,516.464,1.903,2.67967,0.00058,0.57431,0.69003,0.6158,0.22149,2.23466,2.07875,0.00078,0.00163229,0.00163229,0.00163229
4,683.54,1.81184,1.59752,0.00054,0.65015,0.75034,0.71488,0.26455,2.15644,1.49083,0.00075,0.00161749,0.00161749,0.00161749
5,852.213,1.72525,1.1687,0.00052,0.74344,0.79208,0.79644,0.28832,2.20088,1.16259,0.00077,0.00160099,0.00160099,0.00160099
6,1019.66,1.65569,0.94437,0.00049,0.80183,0.82528,0.87132,0.34387,2.06824,0.97628,0.00071,0.00158448,0.00158448,0.00158448
7,1188.79,1.6793,0.81738,0.00049,0.78389,0.81115,0.82358,0.34329,1.99336,0.93252,0.00071,0.00156798,0.00156798,0.00156798
8,1357.07,1.68694,0.77231,0.00049,0.71159,0.76624,0.77838,0.32902,1.9977,1.01307,0.0007,0.00155148,0.00155148,0.00155148
9,1525.08,1.60336,0.71515,0.00047,0.75667,0.78941,0.79922,0.32793,2.03232,0.91562,0.00073,0.00153497,0.00153497,0.00153497
10,1692.44,1.56664,0.66318,0.00045,0.78888,0.82698,0.87084,0.38164,1.92136,0.82725,0.00066,0.00151847,0.00151847,0.00151847
11,1859.28,1.56165,0.6312,0.00045,0.76099,0.77654,0.81514,0.36301,1.95228,0.83147,0.0007,0.00150197,0.00150197,0.00150197
12,2028,1.51149,0.59392,0.00043,0.81666,0.84984,0.88579,0.38585,1.90627,0.78861,0.00064,0.00148546,0.00148546,0.00148546
13,2196.51,1.47979,0.57255,0.00042,0.75874,0.75726,0.81847,0.35632,1.95115,0.8445,0.00069,0.00146896,0.00146896,0.00146896
14,2366.95,1.4892,0.56119,0.00042,0.81761,0.82756,0.85459,0.385,1.88037,0.74575,0.00069,0.00145246,0.00145246,0.00145246
15,2535.41,1.52011,0.54896,0.00043,0.80175,0.83221,0.86566,0.3595,1.96751,0.72706,0.00068,0.00143595,0.00143595,0.00143595
16,2704.9,1.46352,0.52918,0.00041,0.69525,0.75389,0.77814,0.35941,1.90643,0.89048,0.00071,0.00141945,0.00141945,0.00141945
17,2871.84,1.48232,0.5389,0.00042,0.67482,0.67587,0.70623,0.25694,2.32691,0.95887,0.00078,0.00140295,0.00140295,0.00140295
18,3040.42,1.46932,0.52897,0.00041,0.78801,0.81943,0.84932,0.37936,1.89261,0.72764,0.00068,0.00138644,0.00138644,0.00138644
19,3209.46,1.45226,0.51458,0.00041,0.78522,0.79648,0.81527,0.34534,2.01651,0.7819,0.00073,0.00136994,0.00136994,0.00136994
20,3378.13,1.44335,0.50155,0.00041,0.81944,0.80157,0.85625,0.36236,2.00519,0.77842,0.00068,0.00135344,0.00135344,0.00135344
21,3545.82,1.37891,0.49377,0.00039,0.7239,0.81172,0.80825,0.35638,1.95936,0.77661,0.00072,0.00133693,0.00133693,0.00133693
22,3715.31,1.41854,0.49539,0.0004,0.82457,0.86294,0.88392,0.41425,1.85458,0.65325,0.00064,0.00132043,0.00132043,0.00132043
23,3884.6,1.387,0.49231,0.00039,0.76552,0.80861,0.82776,0.3411,2.05471,0.773,0.00072,0.00130393,0.00130393,0.00130393
24,4053.34,1.42026,0.49631,0.00039,0.67225,0.72816,0.70688,0.27139,2.12077,0.99075,0.00072,0.00128742,0.00128742,0.00128742
25,4221.46,1.3994,0.49759,0.0004,0.7496,0.77558,0.82146,0.34461,1.98656,0.82815,0.0007,0.00127092,0.00127092,0.00127092
26,4391.01,1.39896,0.47726,0.00039,0.73462,0.76073,0.80226,0.37676,1.88403,0.8101,0.0007,0.00125442,0.00125442,0.00125442
27,4561.08,1.40547,0.4789,0.00039,0.75412,0.79199,0.79896,0.32108,2.1498,0.80255,0.00076,0.00123791,0.00123791,0.00123791
28,4732.67,1.36175,0.46929,0.00038,0.81662,0.81814,0.85696,0.36124,2.02674,0.77383,0.00069,0.00122141,0.00122141,0.00122141
29,4901.84,1.35157,0.44948,0.00038,0.7999,0.81599,0.85961,0.39491,1.91207,0.742,0.00071,0.00120491,0.00120491,0.00120491
30,5072.52,1.34042,0.45652,0.00038,0.79716,0.83384,0.87144,0.40609,1.88583,0.72151,0.00068,0.0011884,0.0011884,0.0011884
31,5241.93,1.34118,0.45184,0.00037,0.81578,0.81963,0.87128,0.38002,2.00506,0.69592,0.00071,0.0011719,0.0011719,0.0011719
32,5411.85,1.35245,0.461,0.00038,0.7889,0.80056,0.83946,0.35588,2.04729,0.74987,0.00071,0.0011554,0.0011554,0.0011554
33,5581.51,1.33985,0.45286,0.00038,0.80908,0.81283,0.85907,0.38586,1.96358,0.74598,0.00069,0.00113889,0.00113889,0.00113889
34,5751.77,1.3479,0.45291,0.00037,0.81116,0.79605,0.84639,0.36502,2.01008,0.76085,0.00072,0.00112239,0.00112239,0.00112239
35,5921.44,1.32861,0.44612,0.00037,0.71751,0.76347,0.76792,0.30016,2.13865,0.87225,0.00074,0.00110589,0.00110589,0.00110589
36,6090.91,1.33955,0.44833,0.00037,0.79675,0.78848,0.82778,0.33419,2.13765,0.78035,0.00074,0.00108938,0.00108938,0.00108938
37,6260.98,1.32171,0.44954,0.00037,0.84371,0.85731,0.88345,0.4113,1.79777,0.69086,0.00062,0.00107288,0.00107288,0.00107288
38,6429.69,1.31242,0.43547,0.00036,0.75463,0.76044,0.76918,0.30349,2.12766,0.84761,0.00075,0.00105638,0.00105638,0.00105638
39,6598.3,1.29685,0.4359,0.00036,0.78507,0.81854,0.83749,0.35667,2.03674,0.74102,0.00073,0.00103987,0.00103987,0.00103987
40,6768.59,1.31989,0.44077,0.00036,0.84163,0.86545,0.89393,0.40002,1.94934,0.65249,0.00069,0.00102337,0.00102337,0.00102337
41,6942.03,1.30214,0.43001,0.00035,0.81425,0.81475,0.83314,0.35465,1.95187,0.78446,0.00066,0.00100687,0.00100687,0.00100687
