epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,91.3327,2.71701,4.9542,0.00118,0.687,0.60356,0.61734,0.21658,2.43783,1.07532,0.00086,0.000551698,0.000551698,0.000551698
2,162.325,2.47748,1.34366,0.00095,0.6952,0.61361,0.62054,0.21215,2.35543,1.13768,0.00084,0.00110709,0.00110709,0.00110709
3,234.065,2.5059,1.1569,0.00095,0.71785,0.66224,0.6593,0.21486,2.52821,0.96028,0.00094,0.00166141,0.00166141,0.00166141
4,308.765,2.39247,1.02574,0.00089,0.74976,0.54878,0.64431,0.21687,2.44846,1.1723,0.00089,0.00166334,0.00166334,0.00166334
5,384.442,2.31683,1.00487,0.00086,0.71744,0.65476,0.66009,0.24032,2.24217,1.13378,0.00079,0.00166049,0.00166049,0.00166049
6,466.685,2.17464,0.95403,0.0008,0.7855,0.71732,0.76844,0.30017,2.17133,0.89488,0.0008,0.00165684,0.00165684,0.00165684
7,546.724,2.06445,0.91257,0.00075,0.81169,0.75773,0.80873,0.35432,2.00541,0.82899,0.00069,0.00165238,0.00165238,0.00165238
8,628.508,2.09422,0.90878,0.00076,0.81402,0.72369,0.79152,0.36198,1.96261,0.82423,0.00067,0.00164713,0.00164713,0.00164713
9,704.955,2.06627,0.88297,0.00076,0.81656,0.74426,0.8009,0.34474,2.10137,0.80249,0.00073,0.00164108,0.00164108,0.00164108
10,782.427,2.10073,0.87295,0.00076,0.80052,0.76035,0.81691,0.3616,2.05436,0.86198,0.00073,0.00163424,0.00163424,0.00163424
11,858.443,2.0109,0.84848,0.00073,0.84759,0.78022,0.85254,0.41846,1.8756,0.75898,0.00065,0.00162661,0.00162661,0.00162661
12,934.763,1.9786,0.84228,0.0007,0.85981,0.77925,0.86695,0.4474,1.79345,0.72103,0.00061,0.00161822,0.00161822,0.00161822
13,1011.57,2.04903,0.81939,0.00072,0.8639,0.78369,0.86066,0.42512,1.85187,0.72346,0.00063,0.00160905,0.00160905,0.00160905
14,1088.23,1.90812,0.76868,0.00067,0.83527,0.75799,0.83721,0.39914,1.94725,0.7298,0.00068,0.00159913,0.00159913,0.00159913
15,1163.56,1.96161,0.76827,0.0007,0.83113,0.75878,0.85269,0.41441,1.91911,0.82446,0.00066,0.00158847,0.00158847,0.00158847
16,1239.64,1.90326,0.76205,0.00068,0.86117,0.7468,0.8442,0.38079,1.97194,0.79019,0.00067,0.00157706,0.00157706,0.00157706
17,1315.5,1.89767,0.76047,0.00069,0.83359,0.76361,0.8436,0.41672,1.87709,0.79201,0.00065,0.00156493,0.00156493,0.00156493
18,1392.27,1.92979,0.759,0.00069,0.86219,0.76436,0.87923,0.42288,1.85411,0.76147,0.00063,0.00155209,0.00155209,0.00155209
19,1469.81,1.86123,0.72507,0.00065,0.85092,0.80264,0.87039,0.44233,1.82865,0.70623,0.00062,0.00153854,0.00153854,0.00153854
20,1549.41,1.84272,0.72235,0.00066,0.85351,0.80069,0.88516,0.45655,1.75431,0.71388,0.00059,0.00152431,0.00152431,0.00152431
21,1626.78,1.83752,0.71263,0.00065,0.84789,0.81824,0.89194,0.46217,1.74016,0.73147,0.00058,0.00150941,0.00150941,0.00150941
22,1703.5,1.84633,0.71601,0.00065,0.86485,0.79681,0.89022,0.41074,1.92628,0.70329,0.00066,0.00149384,0.00149384,0.00149384
23,1779.83,1.78018,0.68281,0.00062,0.85463,0.81256,0.89746,0.47778,1.72198,0.68638,0.00057,0.00147764,0.00147764,0.00147764
24,1856.93,1.81703,0.66964,0.00063,0.85723,0.84395,0.91182,0.47004,1.78848,0.64516,0.0006,0.0014608,0.0014608,0.0014608
25,1933.26,1.78537,0.67495,0.00061,0.86734,0.81539,0.90969,0.48281,1.71904,0.65928,0.00058,0.00144335,0.00144335,0.00144335
26,2007.98,1.82527,0.70434,0.00064,0.85343,0.84553,0.923,0.50839,1.64441,0.6279,0.00055,0.00142531,0.00142531,0.00142531
27,2083.16,1.77632,0.67777,0.00061,0.86114,0.78898,0.90207,0.52016,1.56021,0.66684,0.00053,0.0014067,0.0014067,0.0014067
28,2158.47,1.78052,0.69677,0.00061,0.84222,0.82245,0.90596,0.47575,1.73075,0.65223,0.00058,0.00138753,0.00138753,0.00138753
29,2234.26,1.7399,0.68216,0.00061,0.85567,0.82457,0.91213,0.4754,1.73619,0.65074,0.00059,0.00136781,0.00136781,0.00136781
30,2310.25,1.75384,0.68402,0.00061,0.86968,0.85956,0.92552,0.51675,1.65804,0.59736,0.00056,0.00134758,0.00134758,0.00134758
31,2386.49,1.72758,0.66094,0.0006,0.83806,0.80639,0.90498,0.51359,1.57202,0.6786,0.00053,0.00132685,0.00132685,0.00132685
32,2462.29,1.70719,0.6634,0.0006,0.8762,0.8209,0.91935,0.50747,1.63437,0.6731,0.00054,0.00130565,0.00130565,0.00130565
33,2539.7,1.71481,0.64614,0.00058,0.84124,0.8143,0.90197,0.50091,1.64544,0.71193,0.00055,0.00128398,0.00128398,0.00128398
34,2615.52,1.71072,0.65381,0.00059,0.8567,0.81966,0.91148,0.47546,1.73562,0.6597,0.00058,0.00126188,0.00126188,0.00126188
35,2690.53,1.70056,0.64286,0.00058,0.8585,0.8575,0.92686,0.53481,1.57602,0.61901,0.00053,0.00123936,0.00123936,0.00123936
36,2766.64,1.68636,0.64601,0.00059,0.84966,0.82043,0.91493,0.54374,1.50106,0.63376,0.00049,0.00121645,0.00121645,0.00121645
37,2847.48,1.67217,0.60807,0.00057,0.84547,0.83356,0.91996,0.51334,1.60435,0.64255,0.00054,0.00119317,0.00119317,0.00119317
38,2927.58,1.68396,0.64223,0.00059,0.87102,0.85293,0.93361,0.51487,1.61469,0.57915,0.00054,0.00116955,0.00116955,0.00116955
39,3005.93,1.69563,0.61574,0.00058,0.86681,0.8372,0.92601,0.54462,1.54669,0.61446,0.00051,0.0011456,0.0011456,0.0011456
40,3084.45,1.63487,0.608,0.00057,0.87989,0.85458,0.94663,0.5691,1.44276,0.56008,0.00047,0.00112135,0.00112135,0.00112135
41,3163.73,1.65038,0.62641,0.00057,0.87159,0.85121,0.93891,0.54426,1.55792,0.57507,0.00051,0.00109683,0.00109683,0.00109683
42,3241.35,1.66231,0.63808,0.00058,0.89328,0.77971,0.91771,0.52679,1.56984,0.67076,0.00052,0.00107205,0.00107205,0.00107205
43,3320.61,1.68096,0.60631,0.00058,0.85723,0.81651,0.92184,0.53405,1.56226,0.64598,0.00052,0.00104705,0.00104705,0.00104705
44,3397.95,1.64171,0.61835,0.00057,0.90403,0.82338,0.93153,0.53231,1.56413,0.60884,0.00052,0.00102184,0.00102184,0.00102184
45,3473.48,1.60323,0.59015,0.00053,0.88034,0.84261,0.93678,0.5413,1.54638,0.57788,0.00051,0.000996456,0.000996456,0.000996456
46,3548.73,1.61165,0.58541,0.00053,0.88161,0.80926,0.92955,0.54574,1.51041,0.62563,0.0005,0.000970919,0.000970919,0.000970919
47,3623.3,1.58268,0.5811,0.00053,0.88215,0.84354,0.94495,0.5693,1.46601,0.5657,0.00048,0.000945256,0.000945256,0.000945256
48,3699.27,1.59167,0.57668,0.00054,0.88822,0.87717,0.94528,0.55929,1.49794,0.54687,0.00049,0.00091949,0.00091949,0.00091949
49,3777.35,1.55252,0.57825,0.00053,0.85861,0.85333,0.94295,0.5699,1.42973,0.57452,0.00047,0.000893648,0.000893648,0.000893648
50,3857.58,1.56415,0.57701,0.00053,0.87926,0.79953,0.91978,0.53591,1.56624,0.66799,0.00051,0.000867754,0.000867754,0.000867754
51,3934.23,1.60016,0.58857,0.00055,0.88503,0.85442,0.94503,0.57374,1.43527,0.54853,0.00048,0.000841835,0.000841835,0.000841835
52,4008.28,1.53666,0.57051,0.00052,0.89769,0.87792,0.9559,0.59648,1.39101,0.52147,0.00045,0.000815916,0.000815916,0.000815916
53,4084.2,1.55089,0.56804,0.00052,0.89373,0.851,0.94305,0.55596,1.49647,0.58449,0.00049,0.000790022,0.000790022,0.000790022
54,4158.37,1.55089,0.55817,0.00052,0.88406,0.81698,0.93287,0.57842,1.39587,0.6221,0.00046,0.00076418,0.00076418,0.00076418
55,4232.83,1.56306,0.57442,0.00053,0.89382,0.84447,0.94818,0.5863,1.40282,0.56536,0.00046,0.000738414,0.000738414,0.000738414
56,4308.31,1.52176,0.55345,0.00051,0.91185,0.86218,0.95428,0.58887,1.39378,0.55701,0.00045,0.000712751,0.000712751,0.000712751
57,4384.86,1.54169,0.56795,0.00051,0.89784,0.85349,0.9509,0.5884,1.40343,0.55445,0.00046,0.000687214,0.000687214,0.000687214
58,4460.95,1.53946,0.57272,0.00053,0.90017,0.8403,0.94726,0.58929,1.38959,0.57611,0.00045,0.000661831,0.000661831,0.000661831
59,4536.58,1.51616,0.55892,0.00051,0.90467,0.87951,0.95821,0.57706,1.45369,0.51924,0.00048,0.000636625,0.000636625,0.000636625
60,4617.76,1.5127,0.55619,0.0005,0.89184,0.83512,0.944,0.58275,1.39856,0.59403,0.00046,0.000611621,0.000611621,0.000611621
61,4694.11,1.52182,0.55535,0.00052,0.89736,0.8584,0.95167,0.59266,1.39071,0.55246,0.00045,0.000586845,0.000586845,0.000586845
62,4770.22,1.49463,0.54441,0.00049,0.9174,0.8523,0.95514,0.59226,1.3977,0.53238,0.00045,0.00056232,0.00056232,0.00056232
63,4846.04,1.48564,0.54465,0.0005,0.89938,0.83532,0.94738,0.58325,1.42832,0.56172,0.00046,0.000538072,0.000538072,0.000538072
64,4921.92,1.47249,0.53797,0.00049,0.90997,0.8515,0.95399,0.5721,1.46891,0.55676,0.00048,0.000514122,0.000514122,0.000514122
65,4999.72,1.46372,0.53633,0.00049,0.89934,0.85963,0.9533,0.59312,1.40318,0.55268,0.00046,0.000490497,0.000490497,0.000490497
66,5075.94,1.47248,0.54006,0.0005,0.89948,0.83901,0.94854,0.58432,1.41864,0.57387,0.00046,0.000467218,0.000467218,0.000467218
67,5156.22,1.45703,0.53775,0.00049,0.90252,0.86737,0.95623,0.59792,1.39272,0.51873,0.00045,0.000444309,0.000444309,0.000444309
68,5231.55,1.47973,0.54566,0.0005,0.89974,0.86231,0.95394,0.59295,1.39175,0.53387,0.00045,0.000421792,0.000421792,0.000421792
69,5307.12,1.47551,0.55253,0.0005,0.89718,0.8294,0.94347,0.59089,1.38171,0.58455,0.00045,0.000399689,0.000399689,0.000399689
70,5383.81,1.45928,0.54054,0.0005,0.89779,0.8462,0.94965,0.5944,1.39077,0.55152,0.00045,0.000378023,0.000378023,0.000378023
71,5457.65,1.43324,0.52706,0.00047,0.89908,0.83108,0.94565,0.59471,1.3755,0.57201,0.00045,0.000356815,0.000356815,0.000356815
72,5533.11,1.43295,0.52738,0.00048,0.90853,0.85911,0.95654,0.60244,1.36977,0.52725,0.00044,0.000336086,0.000336086,0.000336086
73,5606.13,1.42241,0.52793,0.00047,0.91022,0.86929,0.95581,0.60329,1.37307,0.5377,0.00045,0.000315855,0.000315855,0.000315855
74,5680.79,1.44211,0.53154,0.00049,0.89973,0.84261,0.94724,0.59838,1.37451,0.56808,0.00045,0.000296144,0.000296144,0.000296144
75,5758.2,1.42778,0.52897,0.00049,0.90611,0.85495,0.95325,0.60745,1.34658,0.54033,0.00044,0.000276971,0.000276971,0.000276971
76,5834.01,1.4055,0.51648,0.00046,0.91137,0.84583,0.94707,0.61083,1.32421,0.55522,0.00043,0.000258355,0.000258355,0.000258355
77,5909.32,1.4047,0.51539,0.00047,0.91791,0.85191,0.95041,0.60713,1.35326,0.54847,0.00044,0.000240316,0.000240316,0.000240316
78,5984.68,1.40245,0.50645,0.00047,0.91578,0.8555,0.95389,0.60219,1.37739,0.53569,0.00045,0.00022287,0.00022287,0.00022287
79,6061.62,1.38487,0.51112,0.00046,0.91288,0.83098,0.95009,0.59689,1.38043,0.56734,0.00045,0.000206034,0.000206034,0.000206034
80,6135.58,1.39247,0.51638,0.00046,0.91938,0.84166,0.95205,0.61195,1.32776,0.56296,0.00043,0.000189827,0.000189827,0.000189827
81,6210.28,1.39192,0.52019,0.00047,0.91322,0.84675,0.94882,0.61428,1.32476,0.55551,0.00043,0.000174262,0.000174262,0.000174262
82,6285.15,1.37988,0.50998,0.00046,0.91406,0.85203,0.95319,0.61022,1.34278,0.54475,0.00043,0.000159357,0.000159357,0.000159357
83,6359.61,1.35909,0.4963,0.00045,0.91496,0.84351,0.94963,0.59947,1.36661,0.5692,0.00044,0.000145125,0.000145125,0.000145125
84,6438.35,1.37789,0.50183,0.00046,0.91189,0.84434,0.95123,0.60971,1.32793,0.55457,0.00043,0.000131581,0.000131581,0.000131581
85,6512.98,1.37048,0.50954,0.00046,0.90305,0.85612,0.95356,0.61561,1.31771,0.53952,0.00043,0.000118737,0.000118737,0.000118737
86,6588.36,1.36918,0.49642,0.00045,0.91344,0.84814,0.95038,0.60936,1.32543,0.56282,0.00043,0.000106608,0.000106608,0.000106608
87,6663.4,1.37269,0.50832,0.00046,0.91952,0.85279,0.95443,0.61592,1.32287,0.5347,0.00043,9.52034e-05,9.52034e-05,9.52034e-05
88,6738.74,1.36611,0.51065,0.00045,0.91319,0.84831,0.95244,0.61572,1.31156,0.54782,0.00042,8.4536e-05,8.4536e-05,8.4536e-05
89,6813.11,1.36171,0.49838,0.00045,0.91674,0.85782,0.95438,0.61225,1.33102,0.54064,0.00043,7.4616e-05,7.4616e-05,7.4616e-05
90,6888.75,1.35846,0.4872,0.00045,0.91713,0.85817,0.95405,0.61103,1.33456,0.53906,0.00043,6.54531e-05,6.54531e-05,6.54531e-05
91,6969.65,1.22247,0.43721,0.00041,0.91808,0.84721,0.95263,0.61345,1.32297,0.54854,0.00043,5.70564e-05,5.70564e-05,5.70564e-05
92,7038.75,1.22586,0.43812,0.00041,0.91835,0.84949,0.95302,0.61243,1.33074,0.54633,0.00043,4.94343e-05,4.94343e-05,4.94343e-05
93,7107.67,1.21779,0.43987,0.00041,0.91771,0.84103,0.95061,0.61558,1.31347,0.55734,0.00042,4.25941e-05,4.25941e-05,4.25941e-05
94,7176.7,1.21398,0.43728,0.00041,0.91171,0.84922,0.95118,0.61533,1.30875,0.55515,0.00042,3.65426e-05,3.65426e-05,3.65426e-05
95,7242.83,1.2107,0.4351,0.00041,0.91388,0.84749,0.95065,0.6153,1.30743,0.55741,0.00042,3.12859e-05,3.12859e-05,3.12859e-05
96,7311.39,1.22026,0.43873,0.00041,0.91025,0.85342,0.95209,0.6199,1.29978,0.55072,0.00042,2.68292e-05,2.68292e-05,2.68292e-05
97,7379.87,1.20354,0.43263,0.0004,0.91658,0.8488,0.95198,0.62128,1.29436,0.55163,0.00042,2.31767e-05,2.31767e-05,2.31767e-05
98,7447.93,1.20512,0.43809,0.0004,0.91711,0.84506,0.95166,0.61944,1.30077,0.55657,0.00042,2.03321e-05,2.03321e-05,2.03321e-05
