epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,319.541,2.19415,4.886,0.00064,0.87945,0.87489,0.93545,0.44013,1.80877,0.69898,0.00063,0.000554673,0.000554673,0.000554673
2,677.323,1.98918,0.97955,0.00055,0.91305,0.89389,0.93793,0.51497,1.59556,0.60644,0.00059,0.00109935,0.00109935,0.00109935
3,1020.49,1.95036,0.85793,0.00053,0.88949,0.91176,0.95476,0.54249,1.51923,0.58219,0.00053,0.00163302,0.00163302,0.00163302
4,1376.56,1.92083,0.74782,0.00052,0.90448,0.89986,0.95523,0.49749,1.71617,0.62797,0.00059,0.00161749,0.00161749,0.00161749
5,1741.82,1.86205,0.70281,0.0005,0.89155,0.90781,0.9606,0.54531,1.49582,0.57352,0.00052,0.00160099,0.00160099,0.00160099
6,2093.35,1.81733,0.65576,0.00048,0.91984,0.93001,0.96687,0.54833,1.56348,0.5155,0.00054,0.00158448,0.00158448,0.00158448
7,2451.27,1.74327,0.61585,0.00047,0.92564,0.93086,0.96564,0.5733,1.48055,0.49817,0.00052,0.00156798,0.00156798,0.00156798
8,2815.64,1.75938,0.62623,0.00047,0.91344,0.90649,0.96265,0.49874,1.71028,0.56246,0.00058,0.00155148,0.00155148,0.00155148
9,3155.6,1.72536,0.59791,0.00045,0.92483,0.92556,0.97145,0.5705,1.493,0.5087,0.00052,0.00153497,0.00153497,0.00153497
10,3481.14,1.68813,0.56762,0.00044,0.92237,0.91402,0.97331,0.56685,1.48555,0.51112,0.0005,0.00151847,0.00151847,0.00151847
11,3806.67,1.70878,0.58737,0.00045,0.91995,0.91795,0.96881,0.60261,1.35371,0.50313,0.00047,0.00150197,0.00150197,0.00150197
12,4132.17,1.68584,0.60051,0.00044,0.9084,0.92719,0.97366,0.61764,1.3224,0.50329,0.00045,0.00148546,0.00148546,0.00148546
13,4457.38,1.60854,0.55993,0.00042,0.9263,0.91592,0.97471,0.59522,1.38773,0.49311,0.00047,0.00146896,0.00146896,0.00146896
14,4784.48,1.67449,0.59952,0.00044,0.89855,0.9189,0.96829,0.58847,1.37671,0.52088,0.00047,0.00145246,0.00145246,0.00145246
15,5111.78,1.57905,0.55344,0.00038,0.91502,0.92174,0.97307,0.63045,1.28773,0.4867,0.00044,0.00143595,0.00143595,0.00143595
16,5440.17,1.62075,0.54875,0.00041,0.9366,0.92039,0.97985,0.62412,1.30545,0.47486,0.00045,0.00141945,0.00141945,0.00141945
17,5775.91,1.57109,0.54079,0.0004,0.92391,0.9105,0.97687,0.63793,1.27548,0.4732,0.00043,0.00140295,0.00140295,0.00140295
18,6104.93,1.53522,0.52167,0.00039,0.91989,0.92677,0.97601,0.63687,1.26808,0.46693,0.00044,0.00138644,0.00138644,0.00138644
19,6434.71,1.56054,0.53075,0.00039,0.92601,0.93182,0.97642,0.5992,1.37407,0.48383,0.00046,0.00136994,0.00136994,0.00136994
20,6767.74,1.57312,0.54309,0.0004,0.93171,0.90051,0.97232,0.6028,1.3579,0.49054,0.00046,0.00135344,0.00135344,0.00135344
21,7097.34,1.54426,0.51902,0.00039,0.92004,0.91992,0.97598,0.64739,1.24832,0.45959,0.00043,0.00133693,0.00133693,0.00133693
22,7426.82,1.51747,0.51262,0.00038,0.94089,0.92448,0.97894,0.66083,1.19467,0.4526,0.0004,0.00132043,0.00132043,0.00132043
23,7758.45,1.49768,0.49996,0.00037,0.93674,0.92732,0.98004,0.65622,1.22768,0.44873,0.00041,0.00130393,0.00130393,0.00130393
24,8090.78,1.53113,0.51462,0.00038,0.93858,0.92489,0.98018,0.64189,1.25876,0.44686,0.00042,0.00128742,0.00128742,0.00128742
25,8447.16,1.49872,0.4953,0.00037,0.93096,0.91268,0.97589,0.65117,1.2203,0.45764,0.00041,0.00127092,0.00127092,0.00127092
26,8798.58,1.49548,0.51461,0.00038,0.93368,0.92963,0.98044,0.64227,1.26502,0.44684,0.00042,0.00125442,0.00125442,0.00125442
27,9138.66,1.50197,0.52569,0.00038,0.92713,0.92087,0.97896,0.65491,1.23199,0.45211,0.00042,0.00123791,0.00123791,0.00123791
28,9481.12,1.48511,0.52593,0.00037,0.93036,0.9337,0.98107,0.65692,1.2173,0.44303,0.00041,0.00122141,0.00122141,0.00122141
29,9823.8,1.46653,0.50917,0.00035,0.9343,0.94018,0.98111,0.64525,1.26242,0.45528,0.00042,0.00120491,0.00120491,0.00120491
30,10164.5,1.50792,0.51718,0.00038,0.91604,0.92997,0.97848,0.66097,1.18823,0.43945,0.00041,0.0011884,0.0011884,0.0011884
31,10502.2,1.52181,0.52003,0.00039,0.93138,0.92,0.97844,0.61592,1.3526,0.46247,0.00046,0.0011719,0.0011719,0.0011719
32,10845.1,1.46891,0.50368,0.00037,0.93447,0.92752,0.98164,0.6637,1.20176,0.4375,0.00041,0.0011554,0.0011554,0.0011554
