epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,298.968,2.77782,4.6589,0.00117,0.64335,0.51759,0.49354,0.13969,2.79756,1.30842,0.001,0.000551698,0.000551698,0.000551698
2,569.885,2.50566,1.26956,0.00094,0.71172,0.63199,0.62874,0.18226,2.6395,1.05255,0.001,0.00110709,0.00110709,0.00110709
3,825.306,2.52961,1.19683,0.00097,0.68727,0.65376,0.66638,0.25366,2.23771,1.00821,0.0008,0.00166141,0.00166141,0.00166141
4,1083.13,2.41525,1.08511,0.00091,0.71167,0.6296,0.64812,0.22295,2.49362,1.05471,0.00089,0.00166334,0.00166334,0.00166334
5,1327.05,2.25506,0.97717,0.00083,0.75601,0.71569,0.73453,0.28359,2.22287,0.8788,0.00076,0.00166049,0.00166049,0.00166049
6,1573.1,2.14102,0.90739,0.00078,0.81271,0.72249,0.78422,0.33463,2.02425,0.89218,0.00071,0.00165684,0.00165684,0.00165684
7,1820.28,2.11724,0.87683,0.00078,0.80191,0.74806,0.80179,0.32359,2.19028,0.83804,0.00077,0.00165238,0.00165238,0.00165238
8,2067.79,2.10268,0.84966,0.00075,0.79324,0.75496,0.81012,0.34121,2.09432,0.83089,0.00074,0.00164713,0.00164713,0.00164713
9,2314.39,2.06918,0.85357,0.00076,0.79381,0.73056,0.80023,0.3394,2.0962,0.90481,0.00072,0.00164108,0.00164108,0.00164108
10,2560.28,2.07224,0.85573,0.00075,0.80153,0.77874,0.83232,0.37518,1.99423,0.78036,0.00069,0.00163424,0.00163424,0.00163424
11,2809.14,2.01395,0.81422,0.00073,0.8185,0.79014,0.84746,0.34516,2.12623,0.79802,0.00075,0.00162661,0.00162661,0.00162661
12,3053.34,2.03278,0.80639,0.00072,0.80976,0.78498,0.82903,0.35279,2.08837,0.81359,0.00073,0.00161822,0.00161822,0.00161822
13,3298.96,1.98666,0.77923,0.0007,0.82264,0.79627,0.86626,0.41179,1.89317,0.7479,0.00065,0.00160905,0.00160905,0.00160905
14,3541.3,1.99007,0.81916,0.00072,0.81901,0.79599,0.86283,0.40106,1.92501,0.75661,0.00066,0.00159913,0.00159913,0.00159913
15,3789.67,1.9417,0.79602,0.00069,0.8288,0.81324,0.87087,0.39502,1.97343,0.73201,0.00068,0.00158847,0.00158847,0.00158847
16,4033.61,1.91947,0.78356,0.00068,0.82499,0.76337,0.84291,0.39187,1.91064,0.8447,0.00066,0.00157706,0.00157706,0.00157706
17,4277.39,1.87874,0.7744,0.00066,0.82749,0.80955,0.87672,0.41686,1.85785,0.75243,0.00063,0.00156493,0.00156493,0.00156493
18,4526.11,1.9088,0.74934,0.00068,0.82424,0.79746,0.88186,0.43878,1.80194,0.74487,0.00061,0.00155209,0.00155209,0.00155209
19,4783.29,1.90025,0.73365,0.00067,0.8666,0.79883,0.89333,0.4355,1.84736,0.70053,0.00063,0.00153854,0.00153854,0.00153854
20,5041.36,1.8928,0.73555,0.00067,0.83893,0.80926,0.90128,0.46172,1.72944,0.71069,0.00058,0.00152431,0.00152431,0.00152431
21,5284.15,1.85325,0.73369,0.00064,0.83003,0.82124,0.87679,0.39623,1.97725,0.74854,0.00068,0.00150941,0.00150941,0.00150941
22,5528.44,1.84395,0.7281,0.00064,0.821,0.79891,0.89162,0.46536,1.72277,0.74682,0.00058,0.00149384,0.00149384,0.00149384
23,5776.25,1.80277,0.70225,0.00063,0.83902,0.82012,0.89996,0.4663,1.73339,0.70705,0.00058,0.00147764,0.00147764,0.00147764
24,6027.43,1.82228,0.70241,0.00063,0.86308,0.81514,0.90908,0.50637,1.59834,0.67209,0.00053,0.0014608,0.0014608,0.0014608
25,6279.49,1.81942,0.69355,0.00064,0.82122,0.77664,0.88106,0.44688,1.74306,0.74778,0.00058,0.00144335,0.00144335,0.00144335
26,6530.22,1.75681,0.68403,0.00061,0.8553,0.80665,0.89972,0.4215,1.95011,0.692,0.00067,0.00142531,0.00142531,0.00142531
27,6783.35,1.78297,0.70977,0.00063,0.8679,0.84744,0.9262,0.49152,1.70784,0.62941,0.00057,0.0014067,0.0014067,0.0014067
28,7037.45,1.76154,0.67695,0.00062,0.84121,0.85663,0.92074,0.48963,1.70987,0.64474,0.00058,0.00138753,0.00138753,0.00138753
